TextID_D,Date_D,Ruler,Year,Month,Day,Dossier_D,Archive_D,Genre_D,Locus_D,Stratum_D,ExcNum_C,MusAcc_C,Mus_C,TNum,Pnum,TextID_A,TextID_C,TextNum_A
UR 764,1761,Hammu-rabi,32,5, 26,Ku-Ningal,"Ur's Extra-mural (EM), Quiet Street 7",Legal - testimony,Room 11,,U 07836nu,-,IM 057302,T6257,P415141,IM 57302 = U.7836?,UET 5 254,UET 5 254
NIPPUR 4415,1760,Hammurapi,33,10,-,TA - House K?: Ninlil-Zimu (Abba-Kalla),Nippur (Penn excavations),Legal - Lawsuit,S1,,-,-,CBS 03425,-,P259799,-,"BE 06 /2, 010",-
NIPPUR 306,1760,Hammurapi,33,11, -,z - Legal (dispute),Nippur (Hilprecht),Legal - Deposition,,,-,-,HS 2409,T23477,P512632,HS 2409,TMH 10 102,TMH 10 102
UR 605,1760,Hammu-rabi,33,6, 21,Ku-ningal?,"Ur's Extra-mural (EM), Quiet Street 7",Legal - Slave Donation,Room 11,,U 07836epsilon,-,UM 52-30-081,T6270,P414997,UM 52-30-81 = U.7836?,UET 5 95,UET 5 95
NIPPUR 120,1759,Hammurapi,34,4, 1,CRH - WB 4,Nippur's Area WB 4,Administrative - receipt,Room 2,Level 4,11N-T0029,-,unknown,T22834,P283657,11NT-29,OIC 22 126 & 138 09,Civil OIC 22 9
UR 933,1759,Hammu-rabi,34,12, 7,Legal (oath),"Ur's Extra-mural (EM), Quiet Street 7",Legal - Deposition,,,U 07827i,-,IM 057381,T12492,P415302,IM 57381 = U.7827i,UET 5 424,UET 5 424
NIPPUR 4411,1758,Hammurapi,35,11,-,TB - naditu,Nippur Mound IV,Legal - Loan (barley),S2,,-,-,CBS 03384,-,P259757,-,"BE 06 /2, 013",-
NIPPUR 121,1758,Hammurapi,35,3, 2,CRH - WB 4,Nippur's Area WB 4,Administrative - receipt,Room 2,Level 4,11N-T0028,-,unknown,T22835,P283656,11NT-28,OIC 22 127 & 138 10,Civil OIC 22 10
NIPPUR 113,1758,Hammurapi,35,3, 20,CRH - Nippur 's Ekur,Nippur's Ninurta Temple (?),Administrative - Offering list,,,-,-,CBS 08550+ CBS 14217,T22070,P263349,CBS 8550+CBS 14217,JCS 29 169-183,"CBS 8550+ (Sigrist JCS 29, p. 170-183)"
UR 640,1758,Hammu-rabi,35,10, 12,Legal (Work hire),Ur (unprov),Legal - Work hire,,,U �,"1953-04-11, 0084",BM 131249,T12980,P415025,"BM 131249 = 1953-04-11, 84",UET 5 129,UET 5 129
